,pH,Temperature,EC
"20/07/2025, 11:04",9.4,28.8,0.0
"20/07/2025, 10:44",9.4,28.8,0.0
"20/07/2025, 10:24",9.4,28.8,0.0
"20/07/2025, 10:04",9.4,28.9,0.0
"20/07/2025, 09:44",9.4,28.9,0.0
"20/07/2025, 09:24",9.4,29.0,0.0
"20/07/2025, 09:03",9.39,29.1,0.0
"20/07/2025, 08:43",9.39,29.1,0.0
"20/07/2025, 08:23",9.39,29.2,0.0
"20/07/2025, 08:03",9.39,29.2,0.0
"20/07/2025, 07:43",9.39,29.3,0.0
"20/07/2025, 07:23",9.38,29.3,0.0
"20/07/2025, 07:02",9.38,29.3,0.0
"20/07/2025, 06:42",9.38,29.3,4.97
"20/07/2025, 06:22",9.38,29.4,0.0
"20/07/2025, 06:02",9.37,29.5,4.94
"20/07/2025, 05:42",9.37,29.5,4.98
"20/07/2025, 05:22",9.37,29.6,4.97
"20/07/2025, 05:02",9.37,29.7,4.96
"20/07/2025, 04:41",9.37,29.7,4.95
"20/07/2025, 04:21",9.37,29.8,4.96
"20/07/2025, 04:01",9.37,29.9,4.96
"20/07/2025, 03:41",9.37,29.9,0.0
"20/07/2025, 03:21",9.37,30.0,4.96
"20/07/2025, 03:01",9.37,30.1,4.97
"20/07/2025, 02:40",9.37,30.1,5.0
"20/07/2025, 02:20",9.37,30.2,0.0
"20/07/2025, 02:00",9.37,30.3,4.97
"20/07/2025, 01:40",9.37,30.3,4.98
"20/07/2025, 01:20",9.36,30.4,4.91
"20/07/2025, 01:00",9.36,30.5,4.97
"20/07/2025, 00:39",9.36,30.5,4.92
"20/07/2025, 00:19",9.36,30.6,4.94
"19/07/2025, 23:59",9.36,30.7,4.9
"19/07/2025, 23:39",9.36,30.8,4.96
"19/07/2025, 23:19",9.36,30.9,4.93
"19/07/2025, 22:59",9.37,31.0,4.89
"19/07/2025, 22:38",9.37,31.1,0.0
"19/07/2025, 22:18",9.37,31.2,0.0
"19/07/2025, 21:58",9.36,31.3,4.95
"19/07/2025, 21:38",9.36,31.5,5.0
"19/07/2025, 21:18",9.36,31.6,4.82
"19/07/2025, 20:58",9.36,31.7,4.97
"19/07/2025, 20:38",9.36,31.9,5.0
"19/07/2025, 20:17",9.36,32.0,4.89
"19/07/2025, 19:57",9.36,32.2,4.91
"19/07/2025, 19:37",9.35,32.3,4.98
"19/07/2025, 19:17",9.35,32.4,4.9
"19/07/2025, 18:57",9.35,32.4,4.94
"19/07/2025, 18:37",9.35,32.4,4.91
"19/07/2025, 18:16",9.35,32.3,4.98
"19/07/2025, 17:56",9.36,32.2,4.96
"19/07/2025, 17:36",9.36,32.2,4.97
"19/07/2025, 17:16",9.36,32.1,4.94
"19/07/2025, 16:56",9.36,32.0,4.87
"19/07/2025, 16:36",9.35,31.9,4.96
"19/07/2025, 16:15",9.35,31.8,4.93
"19/07/2025, 15:55",9.35,31.7,4.97
"19/07/2025, 15:35",9.35,31.6,4.89
"19/07/2025, 15:15",9.35,31.5,4.88
"19/07/2025, 14:55",9.35,31.4,4.97
"19/07/2025, 14:35",9.35,31.3,4.97
"19/07/2025, 14:14",9.35,31.2,4.96
"19/07/2025, 13:54",9.35,31.1,4.97
"19/07/2025, 13:34",9.35,30.9,4.95
"19/07/2025, 13:14",9.35,30.8,4.91
"19/07/2025, 12:54",9.34,30.6,4.94
"19/07/2025, 12:34",9.34,30.5,4.95
"19/07/2025, 12:14",9.35,30.4,4.92
"19/07/2025, 11:53",9.35,30.3,4.93
"19/07/2025, 11:33",9.35,30.1,4.96
"19/07/2025, 11:13",9.34,30.0,4.93
"19/07/2025, 10:53",9.34,29.9,4.97
"19/07/2025, 10:33",9.34,29.8,4.93
"19/07/2025, 10:13",9.34,29.7,4.91
"19/07/2025, 09:52",9.34,29.6,4.86
"19/07/2025, 09:32",9.34,29.5,4.94
"19/07/2025, 09:12",9.34,29.4,4.92
"19/07/2025, 08:52",9.34,29.3,4.95
"19/07/2025, 08:32",9.34,29.2,4.95
"19/07/2025, 08:12",9.34,29.2,4.96
"19/07/2025, 07:51",9.34,29.1,4.96
"19/07/2025, 07:31",9.33,29.1,4.73
"19/07/2025, 07:11",9.33,29.0,4.92
"19/07/2025, 06:51",9.33,29.0,4.87
"19/07/2025, 06:31",9.33,29.0,4.9
"19/07/2025, 06:11",9.32,29.0,4.92
"19/07/2025, 05:50",9.32,29.0,4.97
"19/07/2025, 05:30",9.32,29.1,4.85
"19/07/2025, 05:10",9.32,29.1,4.94
"19/07/2025, 04:50",9.32,29.1,4.92
"19/07/2025, 04:30",9.32,29.2,4.92
"19/07/2025, 04:10",9.32,29.2,4.93
"19/07/2025, 03:50",9.32,29.2,4.95
"19/07/2025, 03:29",9.32,29.2,4.88
"19/07/2025, 03:09",9.32,29.3,4.91
"19/07/2025, 02:49",9.32,29.3,4.91
"19/07/2025, 02:29",9.32,29.4,4.82
"19/07/2025, 02:09",9.32,29.4,4.95
"19/07/2025, 01:49",9.32,29.4,4.9
"19/07/2025, 01:28",9.32,29.4,4.9
"19/07/2025, 01:08",9.31,29.5,4.92
"19/07/2025, 00:48",9.31,29.5,4.93
"19/07/2025, 00:28",9.31,29.6,4.9
"19/07/2025, 00:08",9.31,29.6,4.91
"18/07/2025, 23:48",9.31,29.7,4.95
"18/07/2025, 23:27",9.31,29.7,4.94
"18/07/2025, 23:07",9.31,29.7,4.94
"18/07/2025, 22:47",9.31,29.8,4.86
"18/07/2025, 22:27",9.31,29.9,4.95
"18/07/2025, 22:07",9.31,29.9,4.95
"18/07/2025, 21:47",9.31,30.0,4.92
"18/07/2025, 21:26",9.31,30.0,4.9
"18/07/2025, 21:06",9.31,30.1,4.96
"18/07/2025, 20:46",9.31,30.1,4.91
"18/07/2025, 20:26",9.31,30.2,4.94
"18/07/2025, 20:06",9.31,30.3,4.94
"18/07/2025, 19:46",9.31,30.3,4.96
"18/07/2025, 19:26",9.3,30.4,4.94
"18/07/2025, 19:05",9.3,30.5,4.96
"18/07/2025, 18:45",9.3,30.5,4.95
"18/07/2025, 18:25",9.3,30.6,4.92
"18/07/2025, 18:05",9.3,30.6,4.88
"18/07/2025, 17:45",9.3,30.6,4.9
"18/07/2025, 17:25",9.3,30.6,4.88
"18/07/2025, 17:04",9.3,30.7,4.91
"18/07/2025, 16:44",9.3,30.8,4.9
"18/07/2025, 16:24",9.3,30.8,4.93
"18/07/2025, 16:04",9.3,30.9,4.9
"18/07/2025, 15:44",9.3,31.0,4.88
"18/07/2025, 15:24",9.29,31.1,4.86
"18/07/2025, 15:03",9.29,31.2,4.83
"18/07/2025, 14:43",9.28,31.3,4.9
"18/07/2025, 14:23",9.28,31.4,4.84
"18/07/2025, 14:03",9.28,31.5,4.88
"18/07/2025, 13:43",9.28,31.6,4.94
"18/07/2025, 13:23",9.28,31.7,4.93
"18/07/2025, 13:02",9.28,31.8,4.95
"18/07/2025, 12:42",9.28,31.9,4.94
"18/07/2025, 12:22",9.27,32.0,4.91
"18/07/2025, 12:02",9.27,32.1,4.88
"18/07/2025, 11:42",9.26,32.3,4.92
"18/07/2025, 11:22",9.26,32.4,4.9
"18/07/2025, 11:02",9.26,32.4,4.8
"18/07/2025, 10:41",9.26,32.4,4.81
"18/07/2025, 10:21",9.25,32.3,4.92
"18/07/2025, 10:01",9.26,32.2,4.88
"18/07/2025, 09:41",9.26,32.2,4.88
"18/07/2025, 09:21",9.26,32.1,4.89
"18/07/2025, 09:01",9.25,32.0,4.88
"18/07/2025, 08:40",9.25,32.0,4.84
"18/07/2025, 08:20",9.25,31.9,4.9
"18/07/2025, 08:00",9.25,31.9,4.85
"18/07/2025, 07:40",9.24,31.8,4.85
"18/07/2025, 07:20",9.24,31.8,4.86
"18/07/2025, 07:00",9.24,31.8,4.88
"18/07/2025, 06:39",9.24,31.8,4.89
"18/07/2025, 06:19",9.24,31.8,4.88
"18/07/2025, 05:59",9.25,31.8,4.9
"18/07/2025, 05:39",9.25,31.9,4.9
"18/07/2025, 05:19",9.24,31.9,4.84
"18/07/2025, 04:59",9.24,32.0,4.92
"18/07/2025, 04:38",9.24,32.0,4.87
"18/07/2025, 04:18",9.24,32.0,4.82
"18/07/2025, 03:58",9.24,32.1,4.85
"18/07/2025, 03:38",9.24,32.1,4.81
"18/07/2025, 03:18",9.24,32.2,4.93
"18/07/2025, 02:58",9.23,32.2,4.84
"18/07/2025, 02:38",9.24,32.2,4.84
"18/07/2025, 02:17",9.25,32.3,4.83
"18/07/2025, 01:57",9.26,32.3,4.89
"18/07/2025, 01:37",9.26,32.4,4.8
"18/07/2025, 01:17",9.25,32.5,4.85
"18/07/2025, 00:57",9.25,32.5,4.84
"18/07/2025, 00:37",9.25,32.6,4.81
"18/07/2025, 00:16",9.25,32.6,4.87
"17/07/2025, 23:56",9.25,32.7,4.84
"17/07/2025, 23:36",9.25,32.8,4.82
"17/07/2025, 23:16",9.25,32.8,4.81
"17/07/2025, 22:56",9.24,32.9,4.8
"17/07/2025, 22:36",9.24,32.9,4.84
"17/07/2025, 22:15",9.24,33.0,4.78
"17/07/2025, 21:55",9.24,33.0,4.82
"17/07/2025, 21:35",9.24,33.1,4.77
"17/07/2025, 21:15",9.24,33.1,4.83
"17/07/2025, 20:55",9.24,33.1,4.82
"17/07/2025, 20:35",9.23,33.2,4.74
"17/07/2025, 20:14",9.22,33.2,4.8
"17/07/2025, 19:54",9.22,33.2,4.77
"17/07/2025, 19:34",9.22,33.3,4.73
"17/07/2025, 19:14",9.22,33.3,4.74
"17/07/2025, 18:54",9.22,33.3,4.74
"17/07/2025, 18:34",9.22,33.3,4.77
"17/07/2025, 18:14",9.22,33.2,4.7
"17/07/2025, 17:53",9.22,33.1,4.77
"17/07/2025, 17:33",9.22,33.1,4.06
"17/07/2025, 17:13",9.17,32.3,2.49
"17/07/2025, 15:52",9.15,32.7,0.0
"17/07/2025, 15:32",9.19,32.7,0.0
"17/07/2025, 15:12",9.19,32.6,0.0
"17/07/2025, 14:52",9.19,32.5,0.0
"17/07/2025, 14:32",9.19,32.3,0.0
"17/07/2025, 14:12",9.2,32.2,0.0
"17/07/2025, 13:51",9.19,32.1,0.0
"17/07/2025, 13:31",9.19,31.9,0.0
"17/07/2025, 13:11",9.19,31.7,0.0
"17/07/2025, 12:51",9.19,31.6,0.0
"17/07/2025, 12:31",9.19,31.4,0.0
"17/07/2025, 12:11",9.2,31.2,0.0
"17/07/2025, 11:50",9.2,31.1,0.0
"17/07/2025, 11:30",9.2,31.0,0.0
"17/07/2025, 11:10",9.2,30.9,0.0
"17/07/2025, 10:50",9.2,30.9,0.0
"17/07/2025, 10:30",9.2,30.8,0.0
"17/07/2025, 10:10",9.2,30.8,0.0
"17/07/2025, 09:50",9.2,30.7,0.0
"17/07/2025, 09:29",9.2,30.6,0.0
"17/07/2025, 09:09",9.2,30.6,0.0
"17/07/2025, 08:49",9.2,30.6,0.0
"17/07/2025, 08:29",9.2,30.5,0.0
"17/07/2025, 08:09",9.2,30.5,0.0
"17/07/2025, 07:49",9.2,30.5,0.0
"17/07/2025, 07:28",9.2,30.5,0.0
"17/07/2025, 07:08",9.2,30.5,0.0
"17/07/2025, 06:48",9.2,30.5,0.0
"17/07/2025, 06:28",9.2,30.5,0.0
"17/07/2025, 06:08",9.2,30.5,0.0
"17/07/2025, 05:48",9.2,30.5,0.0
"17/07/2025, 05:27",9.2,30.5,0.0
"17/07/2025, 05:07",9.2,30.5,0.0
"17/07/2025, 04:47",9.2,30.5,0.0
"17/07/2025, 04:27",9.2,30.6,0.0
"17/07/2025, 04:07",9.2,30.6,0.0
"17/07/2025, 03:47",9.2,30.6,0.0
"17/07/2025, 03:26",9.2,30.6,0.0
"17/07/2025, 03:06",9.2,30.6,0.0
"17/07/2025, 02:46",9.2,30.7,0.0
"17/07/2025, 02:26",9.2,30.7,0.0
"17/07/2025, 02:06",9.2,30.7,0.0
"17/07/2025, 01:46",9.2,30.7,0.0
"17/07/2025, 01:26",9.2,30.7,0.0
"17/07/2025, 01:05",9.2,30.7,0.0
"17/07/2025, 00:45",9.2,30.7,0.0
"17/07/2025, 00:25",9.2,30.8,0.0
"17/07/2025, 00:05",9.2,30.8,0.0
"16/07/2025, 23:45",9.2,30.8,0.0
"16/07/2025, 23:25",9.2,30.8,0.0
"16/07/2025, 23:04",9.2,30.8,0.0
"16/07/2025, 22:44",9.2,30.8,0.0
"16/07/2025, 22:24",9.2,30.8,0.0
"16/07/2025, 22:04",9.2,30.8,0.0
"16/07/2025, 21:44",9.2,30.8,0.0
"16/07/2025, 21:24",9.2,30.8,0.0
"16/07/2025, 21:03",9.2,30.8,0.0
"16/07/2025, 20:43",9.2,30.8,0.0
"16/07/2025, 20:23",9.2,30.8,0.0
"16/07/2025, 20:03",9.2,30.8,0.0
"16/07/2025, 19:43",9.2,30.8,0.0
"16/07/2025, 19:23",9.21,30.8,3.35
"16/07/2025, 19:02",9.2,30.7,2.89
"16/07/2025, 18:42",9.19,30.7,3.46
"16/07/2025, 18:22",8.9,30.3,4.27
"16/07/2025, 10:38",8.28,28.7,1.16
"16/07/2025, 10:18",8.28,28.7,1.15
"16/07/2025, 09:58",8.28,28.7,1.15
"16/07/2025, 09:38",8.28,28.7,1.15
"16/07/2025, 09:18",8.28,28.7,1.15
"16/07/2025, 08:58",8.28,28.7,1.15
"16/07/2025, 08:38",8.28,28.7,1.15
"16/07/2025, 08:17",8.28,28.7,1.15
"16/07/2025, 07:57",8.28,28.7,1.15
"16/07/2025, 07:37",8.28,28.7,1.15
"16/07/2025, 07:17",8.28,28.7,1.15
"16/07/2025, 06:57",8.28,28.7,1.15
"16/07/2025, 06:37",8.27,28.7,1.15
"16/07/2025, 06:16",8.27,28.7,1.15
"16/07/2025, 05:56",8.27,28.7,1.15
"16/07/2025, 05:36",8.27,28.8,1.15
"16/07/2025, 05:16",8.27,28.8,1.15
"16/07/2025, 04:56",8.27,28.8,1.15
"16/07/2025, 04:36",8.27,28.8,1.15
"16/07/2025, 04:15",8.26,28.8,1.15
"16/07/2025, 03:55",8.26,28.8,1.15
"16/07/2025, 03:35",8.26,28.8,1.15
"16/07/2025, 03:15",8.26,28.9,1.15
"16/07/2025, 02:55",8.26,28.9,1.15
"16/07/2025, 02:35",8.26,28.9,1.15
"16/07/2025, 02:14",8.26,28.9,1.15
"16/07/2025, 01:54",8.26,28.9,1.15
"16/07/2025, 01:34",8.26,28.9,1.15
"16/07/2025, 01:14",8.26,28.9,1.15
"16/07/2025, 00:54",8.26,28.9,1.15
"16/07/2025, 00:34",8.26,28.9,1.15
"16/07/2025, 00:14",8.26,28.9,1.15
"15/07/2025, 23:53",8.26,29.0,1.15
"15/07/2025, 23:33",8.26,29.0,1.15
"15/07/2025, 23:13",8.26,29.0,1.15
"15/07/2025, 22:53",8.27,29.0,1.15
"15/07/2025, 22:33",8.26,29.0,1.15
"15/07/2025, 22:13",8.27,29.0,1.15
"15/07/2025, 21:52",8.27,29.0,1.15
"15/07/2025, 21:32",8.27,29.0,1.15
"15/07/2025, 21:12",8.27,29.0,1.15
"15/07/2025, 20:52",8.27,29.0,1.15
"15/07/2025, 20:32",8.27,29.0,1.15
"15/07/2025, 20:12",8.27,29.0,1.15
"15/07/2025, 19:51",8.27,29.0,1.15
"15/07/2025, 19:31",8.27,29.0,1.15
"15/07/2025, 19:11",8.27,29.0,1.15
"15/07/2025, 18:51",8.27,29.0,1.15
"15/07/2025, 18:31",8.27,29.0,1.15
"15/07/2025, 18:11",8.27,29.0,1.15
"15/07/2025, 17:50",8.26,29.0,1.15
"15/07/2025, 17:30",8.26,29.0,1.15
"15/07/2025, 17:10",8.26,29.0,1.15
"15/07/2025, 16:50",8.26,29.0,1.15
"15/07/2025, 16:30",8.26,29.0,1.15
"15/07/2025, 16:10",8.26,29.0,1.15
"15/07/2025, 15:50",8.27,29.0,1.15
"15/07/2025, 15:29",8.29,29.0,1.15
"15/07/2025, 15:09",8.29,28.9,1.15
"15/07/2025, 14:49",8.29,28.9,1.15
"15/07/2025, 14:29",8.29,28.9,1.15
"15/07/2025, 14:09",8.29,28.9,1.15
"15/07/2025, 13:49",8.29,28.9,1.15
"15/07/2025, 13:28",8.29,28.9,1.15
"15/07/2025, 13:08",8.28,28.8,1.15
"15/07/2025, 12:48",8.28,28.8,1.15
"15/07/2025, 12:28",8.28,28.8,1.15
"15/07/2025, 12:08",8.29,28.8,1.15
"15/07/2025, 11:48",8.28,28.8,1.15
"15/07/2025, 11:27",8.28,28.7,1.15
"15/07/2025, 11:07",8.29,28.7,1.14
"15/07/2025, 10:47",8.3,28.7,1.14
"15/07/2025, 10:27",8.3,28.7,1.14
"15/07/2025, 10:07",8.31,28.7,1.14
"15/07/2025, 09:47",8.3,28.6,1.25
"15/07/2025, 09:26",8.3,28.6,1.25
"15/07/2025, 09:06",8.3,28.6,1.25
"15/07/2025, 08:46",8.3,28.6,1.25
"15/07/2025, 08:26",8.3,28.6,1.25
"15/07/2025, 08:06",8.3,28.6,1.25
"15/07/2025, 07:46",8.3,28.6,1.25
"15/07/2025, 07:26",8.3,28.6,1.24
"15/07/2025, 07:05",8.3,28.6,1.25
"15/07/2025, 06:45",8.3,28.6,1.26
"15/07/2025, 06:25",8.3,28.6,1.26
"15/07/2025, 06:05",8.3,28.6,1.27
"15/07/2025, 05:45",8.3,28.6,1.27
"15/07/2025, 05:25",8.3,28.6,1.27
"15/07/2025, 05:04",8.3,28.7,1.27
"15/07/2025, 04:44",8.3,28.7,1.27
"15/07/2025, 04:24",8.3,28.7,1.27
"15/07/2025, 04:04",8.3,28.7,1.27
"15/07/2025, 03:44",8.3,28.7,1.27
"15/07/2025, 03:24",8.3,28.7,1.27
"15/07/2025, 03:03",8.3,28.7,1.27
"15/07/2025, 02:43",8.3,28.8,1.28
"15/07/2025, 02:23",8.3,28.8,1.28
"15/07/2025, 02:03",8.3,28.8,1.28
"15/07/2025, 01:43",8.3,28.8,1.28
"15/07/2025, 01:23",8.3,28.8,1.28
"15/07/2025, 01:02",8.3,28.8,1.28
"15/07/2025, 00:42",8.3,28.8,1.28
"15/07/2025, 00:22",8.3,28.8,1.28
"15/07/2025, 00:02",8.3,28.9,1.28
"14/07/2025, 23:42",8.3,28.9,1.28
"14/07/2025, 23:22",8.3,28.9,1.28
"14/07/2025, 23:02",8.3,28.9,1.28
"14/07/2025, 22:41",8.31,28.9,1.28
"14/07/2025, 22:21",8.31,28.9,1.28
"14/07/2025, 22:01",8.31,28.9,1.28
"14/07/2025, 21:41",8.31,28.9,1.29
"14/07/2025, 21:21",8.31,28.9,1.3
"14/07/2025, 21:01",8.31,28.9,1.3
"14/07/2025, 20:40",8.31,28.9,1.3
"14/07/2025, 20:20",8.31,28.9,1.3
"14/07/2025, 20:00",8.31,28.9,1.3
"14/07/2025, 19:40",8.31,28.9,1.3
"14/07/2025, 19:20",8.31,28.9,1.3
"14/07/2025, 19:00",8.31,29.0,1.3
"14/07/2025, 18:39",8.31,29.0,1.3
"14/07/2025, 18:19",8.31,28.9,1.3
"14/07/2025, 17:59",8.31,28.9,1.3
"14/07/2025, 17:39",8.31,28.9,1.3
"14/07/2025, 17:19",8.31,28.9,1.3
"14/07/2025, 16:59",8.32,28.9,1.3
"14/07/2025, 16:38",8.32,28.9,1.3
"14/07/2025, 16:18",8.32,28.8,1.3
"14/07/2025, 15:58",8.32,28.8,1.3
"14/07/2025, 15:38",8.32,28.8,1.3
"14/07/2025, 15:18",8.32,28.8,1.3
"14/07/2025, 14:58",8.32,28.7,1.3
"14/07/2025, 14:38",8.32,28.7,1.3
"14/07/2025, 14:17",8.32,28.7,1.3
"14/07/2025, 13:57",8.32,28.6,1.3
"14/07/2025, 13:37",8.31,28.6,1.3
"14/07/2025, 13:17",8.31,28.6,1.3
"14/07/2025, 12:57",8.31,28.5,1.3
"14/07/2025, 12:37",8.31,28.5,1.3
"14/07/2025, 12:16",8.3,28.4,1.3
"14/07/2025, 11:56",8.3,28.4,1.3
"14/07/2025, 11:36",8.3,28.4,1.3
